Building,City,Country,Height,Floors,Built
Burj Khalifa,Dubai,UAE,828.0,163,2010
Shanghai Tower,Shanghai,China,632.0,123,2015
Abraj Al-Bait Clock Tower,Mecca,Saudi Arabia,601.0,120,2012
Ping An Finance Center,Shenzhen,China,599.0,115,2015
One World Trade Center,New York City,United States,541.0,104,2014
CTF Finance Centre,Guangzhou,China,530.0,111,2015
Taipei 101,Taipei,Republic of China,509.0,101,2004
Shanghai World Financial Center,Shanghai,China,492.0,101,2008
"International Commerce Centre The Ritz-Carlton, Hong Kong",Hong Kong,China,484.0,118,2010
Petronas Tower 1,Kuala Lumpur,Malaysia,452.0,88,1998
Petronas Tower 2,Kuala Lumpur,Malaysia,452.0,88,1998
Zifeng Tower,Nanjing,China,450.0,89,2010
Willis Tower (formerly the Sears Tower),Chicago,United States,442.0,108,1974
KK100,Shenzhen,China,442.0,100,2011
Guangzhou International Finance Center,Guangzhou,China,440.0,103,2010
Marina 101,Dubai,UAE,426.0,101,2015
432 Park Avenue,New York City,United States,426.0,88,2015
Trump International Hotel and Towe,Chicago,United States,423.0,98,2009
Jin Mao Tower,Shanghai,China,420.0,88,1999
Princess Tower,Dubai,UAE,414.0,101,2012
Al Hamra Tower,Kuwait City,Kuwait,413.0,80,2011
Two International Finance Centre,Hong Kong,China,412.0,88,2003
23 Marina,Dubai,UAE,395.0,89,2012
CITIC Plaza,Guangzhou,China,391.0,80,1997
Eton Place Dalian Tower 1,Dalian,China,388.0,81,2015
Capital Market Authority Headquarters,Riyadh,Saudi Arabia,385.0,77,2015
Forum 66 Tower 1,Shenyang,China,384.0,76,2015
Shun Hing Square,Shenzhen,China,384.0,69,1996
Burj Mohammed bin Rashid,Abu Dhabi,UAE,381.0,88,2014
Empire State Building,New York City,United States,381.0,102,1931
Elite Residence,Dubai,UAE,380.0,87,2012
Federation Tower (East Tower,Moscow,Russia,374.0,95,2015
Central Plaza,Hong Kong,China,374.0,78,1992
Bank of China Tower,Hong Kong,China,367.0,70,1990
Bank of America Tower,New York City,United States,366.0,54,2009
Almas Tower,Dubai,UAE,363.0,68,2009
The Pinnacle,Guangzhou,China,360.0,60,2012
JW Marriott Marquis Dubai Tower 1,Dubai,UAE,355.0,82,2012
JW Marriott Marquis Dubai Tower 2,Dubai,UAE,355.0,82,2012
Emirates Office Tower,Dubai,UAE,355.0,54,2000
OKO Tower - South Tower,Moscow,Russia,354.0,85,2015
The Marina Torch,Dubai,UAE,352.0,86,2011
Forum 66 Tower 2,Shenyang,China,351.0,68,2015
Tuntex Sky Tower,Kaohsiung,Republic of China,348.0,85,1997
Aon Center,Chicago,United States,346.0,83,1973
The Center,Hong Kong,China,346.0,73,1998
John Hancock Center,Chicago,United States,344.0,100,1969
ADNOC Headquarters,Abu Dhabi,UAE,342.0,76,2015
Ahmed Abdul Rahim Al Attar Tower,Dubai,UAE,342.0,76,2015
The Wharf Times Square,Wuxi,China,339.0,68,2014
Chongqing World Financial Center,Chongqing,China,339.0,78,2014
Mercury City Tower,Moscow,Russia,339.0,75,2012
Tianjin Modern City Office Tower,Tianjin,China,338.0,65,2015
Tianjin World Financial Center,Tianjin,China,337.0,79,2010
Shimao International Plaza,Shanghai,China,333.0,61,2005
Rose Tower,Dubai,UAE,333.0,72,2007
Modern Media Center,Changzhou,China,332.0,57,2013
Minsheng Bank Building,Wuhan,China,331.0,68,2008
China World Trade Center Tower 3,Beijing,China,330.0,74,2009
Ryugyong Hotel,Pyongyang,North Korea,330.0,105,2015
Hon Kwok City Center,Shenzhen,China,329.0,80,2015
Keangnam Hanoi Landmark Tower,Hanoi,Vietnam,329.0,72,2011
Al Yaqoub Tower,Dubai,UAE,328.0,69,2013
Longxi International Hotel,Huaxi Village,China,328.0,72,2011
Wuxi Suning Plaza 1,Wuxi,China,328.0,68,2014
The Index,Dubai,UAE,326.0,80,2010
The Landmark,Abu Dhabi,UAE,324.0,72,2012
Deji Plaza Phase 2,Nanjing,China,324.0,62,2013
Yantai Shimao No.1 The Harbour,Yantai,China,323.0,59,2015
Q1,Gold Coast,Australia,323.0,80,2005
Wenzhou World Trade Center,Wenzhou,China,322.0,68,2010
Burj Al Arab,Dubai,UAE,321.0,60,1999
Nina Tower,Hong Kong,China,320.0,80,2007
Sinar Mas Center 1,Shanghai,China,320.0,66,2015
Chrysler Building,New York City,United States,319.0,77,1930
New York Times Building,New York City,United States,319.0,52,2007
Global City Squar,Guangzhou,China,319.0,67,2015
HHHR Tower,Dubai,UAE,317.0,72,2010
Bank of America Plaza,Atlanta,United States,317.0,55,1992
Chongqing IFS T1,Chongqing,China,316.0,65,2015
Nanjing International Youth Cultural Centre Tower,Nanjing,China,315.0,68,2015
Moi Center,Shenyang,China,311.0,75,2012
U.S. Bank Tower,Los Angeles,United States,310.0,73,1989
Menara Telekom,Kuala Lumpur,Malaysia,310.0,55,2001
Ocean Heights,Dubai,UAE,310.0,82,2010
Pearl River Tower,Guangzhou,China,310.0,71,2011
The Shard,London,United Kingdom,309.0,72,2012
Fortune Center,Guangzhou,China,309.0,73,2015
Jumeirah Emirates Towers Hotel,Dubai,UAE,309.0,56,2000
Stalnaya Vershina,Moscow,Russia,309.0,72,2015
Burj Rafal,Riyadh,Saudi Arabia,308.0,68,2013
Wanda Plaza,Kunming,China,307.0,70,2015
Wanda Plaza,Kunming,China,307.0,70,2015
Franklin Center,Chicago,United States,307.0,60,1989
Cayan Tower,Dubai,UAE,306.0,76,2013
One57,New York City,United States,306.0,75,2013
East Pacific Center Tower A,Shenzhen,China,306.0,85,2012
The Address Downtown Burj Khalifa,Dubai,UAE,306.0,63,2008
JPMorgan Chase Tower,Houston,United States,305.0,75,1982
Etihad Tower,Abu Dhabi,UAE,305.0,79,2011
Northeast Asia Trade Tower,Incheon,South Korea,305.0,68,2010
Baiyoke Tower II,Bangkok,Thailand,304.0,85,1997
Wuxi Maoye City - Marriott Hotel,Wuxi,China,304.0,68,2014
Two Prudential Plaza,Chicago,United States,303.0,64,1990
Diwang International Fortune Center,Liuzhou,China,303.0,75,2015
Chang Fu Jin Mao Tower,Shenzhen,China,303.0,68,2015
KAFD World Trade Cente,Riyadh,Saudi Arabia,303.0,67,2015
Greenland Puli Cente,Jinan,China,303.0,60,2015
Jiangxi Nanchang Greenland Central Plaza,Nanchang,China,303.0,59,2015
Jiangxi Nanchang Greenland Central Plaza,Nanchang,China,303.0,59,2015
Heung Kong Tower,Shenzhen,China,303.0,61,2014
Leatop Plaza,Guangzhou,China,303.0,65,2011
Wells Fargo Plaza,Houston,United States,302.0,71,1983
Kingdom Centre,Riyadh,Saudi Arabia,302.0,41,2002
Gate of the Orient,Suzhou,China,302.0,68,2015
Moscow Tower,Moscow,Russia,302.0,76,2010
We've the Zenith Tower A,Busan,South Korea,301.0,80,2011
Gran Torre Santiago,Santiago,Chile,300.0,62,2012
Abeno Harukas,Osaka,Japan,300.0,60,2014
Arraya 2,Kuwait City,Kuwait,300.0,60,2009
Aspire Tower,Doha,Qatar,300.0,36,2007
